RunId,iteration,seed,completed,time_to_clear_all_waste,final_time,final_system_waste_total,width,height,n_waste,n_green_robots,n_yellow_robots,n_red_robots
87,1,,True,1943.0,9999.0,0.0,20,10,32,2,2,2
88,1,,False,,9999.0,3.0,20,10,32,3,1,1
89,1,,True,3279.0,9999.0,0.0,20,10,32,3,1,2
90,1,,False,,9999.0,3.0,20,10,32,3,2,1
91,1,,False,,9999.0,3.0,20,10,32,3,2,2
92,1,,False,,9999.0,3.0,20,10,32,4,1,1
93,1,,False,,9999.0,3.0,20,10,32,4,1,2
94,1,,True,3263.0,9999.0,0.0,20,10,32,4,2,1
95,1,,False,,9999.0,3.0,20,10,32,4,2,2
96,2,,True,3227.0,9999.0,0.0,20,10,24,1,1,1
97,2,,True,4167.0,9999.0,0.0,20,10,24,1,1,2
98,2,,True,4457.0,9999.0,0.0,20,10,24,1,2,1
99,2,,True,2371.0,9999.0,0.0,20,10,24,1,2,2
100,2,,True,2681.0,9999.0,0.0,20,10,24,2,1,1
101,2,,False,,9999.0,3.0,20,10,24,2,1,2
102,2,,False,,9999.0,3.0,20,10,24,2,2,1
103,2,,True,1719.0,9999.0,0.0,20,10,24,2,2,2
104,2,,False,,9999.0,3.0,20,10,24,3,1,1
105,2,,True,3007.0,9999.0,0.0,20,10,24,3,1,2
106,2,,True,2535.0,9999.0,0.0,20,10,24,3,2,1
107,2,,False,,9999.0,3.0,20,10,24,3,2,2
108,2,,False,,9999.0,3.0,20,10,24,4,1,1
109,2,,True,2499.0,9999.0,0.0,20,10,24,4,1,2
110,2,,False,,9999.0,3.0,20,10,24,4,2,1
111,2,,False,,9999.0,2.0,20,10,24,4,2,2
112,2,,True,4415.0,9999.0,0.0,20,10,28,1,1,1
113,2,,True,2639.0,9999.0,0.0,20,10,28,1,1,2
114,2,,False,,9999.0,2.0,20,10,28,1,2,1
115,2,,True,3827.0,9999.0,0.0,20,10,28,1,2,2
116,2,,True,5421.0,9999.0,0.0,20,10,28,2,1,1
117,2,,True,2803.0,9999.0,0.0,20,10,28,2,1,2
118,2,,False,,9999.0,3.0,20,10,28,2,2,1
119,2,,False,,9999.0,3.0,20,10,28,2,2,2
120,2,,False,,9999.0,3.0,20,10,28,3,1,1
121,2,,True,3095.0,9999.0,0.0,20,10,28,3,1,2
122,2,,False,,9999.0,3.0,20,10,28,3,2,1
123,2,,False,,9999.0,3.0,20,10,28,3,2,2
124,2,,False,,9999.0,3.0,20,10,28,4,1,1
125,2,,False,,9999.0,3.0,20,10,28,4,1,2
126,2,,False,,9999.0,3.0,20,10,28,4,2,1
127,2,,False,,9999.0,3.0,20,10,28,4,2,2
128,2,,True,4703.0,9999.0,0.0,20,10,32,1,1,1
129,2,,True,3551.0,9999.0,0.0,20,10,32,1,1,2
130,2,,False,,9999.0,2.0,20,10,32,1,2,1
131,2,,True,3219.0,9999.0,0.0,20,10,32,1,2,2
132,2,,True,5581.0,9999.0,0.0,20,10,32,2,1,1
133,2,,True,3365.0,9999.0,0.0,20,10,32,2,1,2
134,2,,True,2615.0,9999.0,0.0,20,10,32,2,2,1
135,2,,True,2059.0,9999.0,0.0,20,10,32,2,2,2
136,2,,True,5843.0,9999.0,0.0,20,10,32,3,1,1
137,2,,False,,9999.0,3.0,20,10,32,3,1,2
138,2,,True,3667.0,9999.0,0.0,20,10,32,3,2,1
139,2,,True,2631.0,9999.0,0.0,20,10,32,3,2,2
140,2,,False,,9999.0,3.0,20,10,32,4,1,1
141,2,,False,,9999.0,3.0,20,10,32,4,1,2
142,2,,False,,9999.0,3.0,20,10,32,4,2,1
143,2,,False,,9999.0,2.0,20,10,32,4,2,2
144,3,,True,3649.0,9999.0,0.0,20,10,24,1,1,1
145,3,,True,7213.0,9999.0,0.0,20,10,24,1,1,2
146,3,,False,,9999.0,2.0,20,10,24,1,2,1
147,3,,False,,9999.0,2.0,20,10,24,1,2,2
148,3,,True,7327.0,9999.0,0.0,20,10,24,2,1,1
149,3,,True,3287.0,9999.0,0.0,20,10,24,2,1,2
150,3,,True,3457.0,9999.0,0.0,20,10,24,2,2,1
151,3,,False,,9999.0,3.0,20,10,24,2,2,2
152,3,,False,,9999.0,3.0,20,10,24,3,1,1
153,3,,False,,9999.0,3.0,20,10,24,3,1,2
154,3,,True,3495.0,9999.0,0.0,20,10,24,3,2,1
155,3,,False,,9999.0,3.0,20,10,24,3,2,2
156,3,,False,,9999.0,3.0,20,10,24,4,1,1
157,3,,False,,9999.0,3.0,20,10,24,4,1,2
158,3,,True,4041.0,9999.0,0.0,20,10,24,4,2,1
159,3,,False,,9999.0,3.0,20,10,24,4,2,2
160,3,,True,5381.0,9999.0,0.0,20,10,28,1,1,1
161,3,,True,5105.0,9999.0,0.0,20,10,28,1,1,2
162,3,,False,,9999.0,2.0,20,10,28,1,2,1
163,3,,True,3717.0,9999.0,0.0,20,10,28,1,2,2
164,3,,True,4863.0,9999.0,0.0,20,10,28,2,1,1
165,3,,True,3071.0,9999.0,0.0,20,10,28,2,1,2
166,3,,False,,9999.0,3.0,20,10,28,2,2,1
167,3,,False,,9999.0,2.0,20,10,28,2,2,2
168,3,,False,,9999.0,3.0,20,10,28,3,1,1
169,3,,False,,9999.0,3.0,20,10,28,3,1,2
170,3,,False,,9999.0,3.0,20,10,28,3,2,1
171,3,,False,,9999.0,3.0,20,10,28,3,2,2
172,3,,False,,9999.0,3.0,20,10,28,4,1,1
173,3,,True,3835.0,9999.0,0.0,20,10,28,4,1,2
174,3,,False,,9999.0,3.0,20,10,28,4,2,1
175,3,,True,2055.0,9999.0,0.0,20,10,28,4,2,2
176,3,,True,5261.0,9999.0,0.0,20,10,32,1,1,1
177,3,,True,4161.0,9999.0,0.0,20,10,32,1,1,2
178,3,,True,6673.0,9999.0,0.0,20,10,32,1,2,1
179,3,,True,4141.0,9999.0,0.0,20,10,32,1,2,2
180,3,,False,,9999.0,3.0,20,10,32,2,1,1
181,3,,True,4581.0,9999.0,0.0,20,10,32,2,1,2
182,3,,False,,9999.0,2.0,20,10,32,2,2,1
183,3,,False,,9999.0,3.0,20,10,32,2,2,2
184,3,,True,6145.0,9999.0,0.0,20,10,32,3,1,1
185,3,,False,,9999.0,3.0,20,10,32,3,1,2
186,3,,False,,9999.0,3.0,20,10,32,3,2,1
187,3,,True,3327.0,9999.0,0.0,20,10,32,3,2,2
188,3,,False,,9999.0,3.0,20,10,32,4,1,1
189,3,,False,,9999.0,3.0,20,10,32,4,1,2
190,3,,True,5441.0,9999.0,0.0,20,10,32,4,2,1
191,3,,False,,9999.0,3.0,20,10,32,4,2,2
192,4,,True,5789.0,9999.0,0.0,20,10,24,1,1,1
